Model,Average Cost (in Dollars),Average Cost of Input Tokens (in Dollars),Average Cost of Output Tokens (in Dollars),Average Token Count,Average Input Token Count,Average Output Token Count,Question Similarity,Fact Check,Difficulty Level,Subject Matter Relevance,Real-World Application,Creativity,Bias,Scalability and Return on Investment,Cost/1M in,Cost/1K in,Cost/1M out,Cost/1K out
GPT-4o,0.063,0.01,0.053,0.976933,0.448,0.528933,0,1,1,1,77,0.5,0.5,0.9,2.5,0.0025,10,0.01
GPT-4o mini,0.002,0.001,0.001,0.919133,0.448,0.471133,0.5,1,1,1,83,1,0.5,1,0.15,0.0005,0.6,0.0006
GPT 4,0.42,0.13,0.29,0.956233,0.4536,0.502633,0,1,0.66,1,75,0,0.5,0.68,30,0.03,60,0.06
OpenAI o1-preview,2.49,0.06,2.43,4.4293,0.378,4.0513,0,1,0.66,1,80,0.75,0,0,15,0.02,60,0.06
OpenAI o1-mini,0.26,0.01,0.25,2.475167,0.378,2.097167,0,0.8,1,1,60,0.85,0,0.82,3,0.003,12,0.01
